id;name;type;url;permission;parent_id;sort
1;mobile Fish;Home Loan Account Table Computer;http://jadon.org;Savings Account alarm;2058;5641
2;transmitter Implementation Electronics;Soap methodology Albania;http://alba.biz;Investment Account Steel;29214;97375
3;Multi-channelled Licensed;grey Cambridgeshire;https://jamil.com;Credit Card Account Table Small Frozen Sausages;96563;56328
4;envisioneer Music Public-key;infomediaries;http://leone.info;Games Regional Digitized;66252;75536
5;convergence;Mayotte;http://alexandrea.org;connect Markets Chief;59789;72727
6;archive Georgia Aruba;software scale interactive;https://kyler.info;mission-critical Faroe Islands Plastic;80219;16526
7;Industrial;index orange;http://adriana.net;monitor;72900;79017
8;Checking Account Identity deposit;IB Investment Account archive;http://gabriel.biz;moratorium pixel withdrawal;88721;56124
9;embrace Developer;synthesize Idaho compress;http://aliza.name;partnerships Grocery Intelligent;3142;89576
10;Harbor Montana;Corporate Phased relationships;https://columbus.biz;Generic neutral Salad;92969;62435
