id;role_id;resources_id;create_time;update_time
1;Car Industrial deliverables;orange Books;2019-11-20T10:52:06;2019-11-21T01:40:01
2;monitor 1080p Checking Account;world-class Frozen IB;2019-11-20T15:28:49;2019-11-20T19:39:09
3;Ergonomic;moratorium moratorium;2019-11-20T12:55:44;2019-11-20T16:14:53
4;tangible Mississippi;Frozen bus;2019-11-20T12:10:50;2019-11-20T13:07:04
5;Robust Networked;Poland;2019-11-20T20:10:42;2019-11-21T03:46:40
6;partnerships;Outdoors;2019-11-20T15:09:56;2019-11-20T19:01:49
7;Montana;Corporate Phased relationships;2019-11-20T12:18:22;2019-11-21T01:33:57
8;Brand;neutral Salad;2019-11-20T08:07:36;2019-11-20T15:27:17
9;modular Refined Squares;maroon;2019-11-20T09:01:05;2019-11-20T09:14:26
10;projection Fresh;support Gorgeous;2019-11-21T00:58:08;2019-11-20T14:53:41
