id;user_id;role_id;create_time;update_time
1;compressing;Brunei Darussalam interface;2019-11-20T10:34:14;2019-11-20T11:57:34
2;lavender;Club backing up;2019-11-21T01:46:27;2019-11-20T17:41:12
3;Peru deposit;Frozen Analyst card;2019-11-21T05:27:13;2019-11-20T11:21:18
4;global mindshare;Ameliorated;2019-11-21T02:00:55;2019-11-20T07:20:09
5;navigating;Som Rustic Frozen Keyboard ROI;2019-11-21T00:41:04;2019-11-20T17:15:28
6;microchip;Response invoice;2019-11-20T18:02:19;2019-11-20T12:43:47
7;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;2019-11-21T03:33:19;2019-11-21T06:05:37
8;Wooden Ergonomic Steel Gloves;Developer Shoes Music;2019-11-20T12:07:07;2019-11-20T18:38:26
9;Hollow Shoes systems;Generic Frozen Tuna HTTP;2019-11-21T00:10:40;2019-11-20T21:26:55
10;Personal Loan Account;Cambridgeshire Norfolk Island;2019-11-20T14:01:27;2019-11-21T02:31:44
